contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
low_light_vs_dark_light,GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",MF,2,29,307,6112,1.46,1.37,0.4318793175542239,0.600875572249355,"FGSG_03963,FGSG_07505"
low_light_vs_dark_light,GO:0030170,pyridoxal phosphate binding,MF,4,69,307,6112,3.47,1.15,0.4590871289203798,0.6251399202320066,"FGSG_03981,FGSG_06751,FGSG_07565,FGSG_08909"
low_light_vs_dark_light,GO:0008080,N-acetyltransferase activity,MF,3,57,307,6112,2.86,1.05,0.5515667342252236,0.7354223123002982,"FGSG_06176,FGSG_07600,FGSG_07862"
low_light_vs_dark_light,GO:0008168,methyltransferase activity,MF,6,121,307,6112,6.08,0.99,0.5728085129454643,0.7481580577246881,"FGSG_01744,FGSG_01745,FGSG_01767,FGSG_02984,FGSG_07660,FGSG_13459"
low_light_vs_dark_light,GO:0051213,dioxygenase activity,MF,2,39,307,6112,1.96,1.02,0.5904156889997967,0.7557320819197397,"FGSG_01255,FGSG_09040"
low_light_vs_dark_light,GO:0016740,transferase activity,MF,6,132,307,6112,6.63,0.9,0.6580264399898215,0.8073805791366903,"FGSG_02852,FGSG_03965,FGSG_04499,FGSG_05036,FGSG_08682,FGSG_08914"
low_light_vs_dark_light,GO:0016787,hydrolase activity,MF,11,240,307,6112,12.05,0.91,0.6683041553056841,0.8073805791366903,"FGSG_01108,FGSG_01571,FGSG_03080,FGSG_03081,FGSG_03304,FGSG_03590,FGSG_03601,FGSG_04902,FGSG_05933,FGSG_08829,FGSG_12338"
low_light_vs_dark_light,GO:0050661,NADP binding,MF,2,45,307,6112,2.26,0.88,0.6686120420975716,0.8073805791366903,"FGSG_08402,FGSG_11261"
low_light_vs_dark_light,GO:0003924,GTPase activity,MF,2,69,307,6112,3.47,0.58,0.8687169208894042,0.999554166223925,"FGSG_05660,FGSG_05908"
low_light_vs_dark_light,GO:0003723,RNA binding,MF,4,132,307,6112,6.63,0.6,0.905161845598002,0.999554166223925,"FGSG_01159,FGSG_02686,FGSG_05933,FGSG_11190"
low_light_vs_dark_light,GO:0016301,kinase activity,MF,2,78,307,6112,3.92,0.51,0.9093720907221836,0.999554166223925,"FGSG_04463,FGSG_06748"
low_light_vs_dark_light,GO:0016874,ligase activity,MF,2,78,307,6112,3.92,0.51,0.9093720907221836,0.999554166223925,"FGSG_03514,FGSG_13394"
low_light_vs_dark_light,GO:0008270,zinc ion binding,MF,31,769,307,6112,38.63,0.8,0.9277249718000364,0.999554166223925,"FGSG_00217,FGSG_00231,FGSG_00404,FGSG_00586,FGSG_02034,FGSG_02291,FGSG_02368,FGSG_02432,FGSG_03062,FGSG_03175,FGSG_03508,FGSG_03683,FGSG_04626,FGSG_04922,FGSG_05330,FGSG_06598,FGSG_07505,FGSG_07674,FGSG_07758,FGSG_08066,FGSG_08125,FGSG_08828,FGSG_08980,FGSG_10453,FGSG_11324,FGSG_11358,FGSG_12172,FGSG_12184,FGSG_12368,FGSG_12611,FGSG_12927"
low_light_vs_dark_light,GO:0005525,GTP binding,MF,3,120,307,6112,6.03,0.5,0.9453416821802538,0.999554166223925,"FGSG_00171,FGSG_05660,FGSG_05908"
low_light_vs_dark_light,GO:0000166,nucleotide binding,MF,2,114,307,6112,5.73,0.35,0.9810216379190452,0.999554166223925,"FGSG_01159,FGSG_05031"
low_light_vs_dark_light,GO:0003676,nucleic acid binding,MF,3,184,307,6112,9.24,0.32,0.9959897975633188,0.999554166223925,"FGSG_01298,FGSG_05446,FGSG_12184"
low_light_vs_dark_light,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,11,428,307,6112,21.5,0.51,0.9969059132703636,0.999554166223925,"FGSG_00217,FGSG_00404,FGSG_00586,FGSG_02368,FGSG_03508,FGSG_03683,FGSG_08828,FGSG_11358,FGSG_12172,FGSG_12611,FGSG_12927"
low_light_vs_dark_light,GO:0003677,DNA binding,MF,11,437,307,6112,21.95,0.5,0.9976776300027412,0.999554166223925,"FGSG_00217,FGSG_00404,FGSG_01915,FGSG_02368,FGSG_03633,FGSG_07505,FGSG_07674,FGSG_08405,FGSG_08828,FGSG_09043,FGSG_12927"
low_light_vs_dark_light,GO:0005524,ATP binding,MF,16,624,307,6112,31.34,0.51,0.999554166223925,0.999554166223925,"FGSG_00469,FGSG_01015,FGSG_02186,FGSG_02870,FGSG_03032,FGSG_04440,FGSG_05446,FGSG_07577,FGSG_07742,FGSG_08312,FGSG_08405,FGSG_08985,FGSG_09045,FGSG_12184,FGSG_12561,FGSG_12704"
low_light_vs_dark_light,GO:0016021,GO:0016021,CC,184,2428,238,5718,101.06,1.82,5.23986970065933e-29,6.81183061085713e-28,"FGSG_00059,FGSG_00160,FGSG_00262,FGSG_00773,FGSG_01031,FGSG_01149,FGSG_01150,FGSG_01268,FGSG_01284,FGSG_01579,FGSG_01745,FGSG_01767,FGSG_01799,FGSG_01824,FGSG_01994,FGSG_02071,FGSG_02207,FGSG_02208,FGSG_02264,FGSG_02281,FGSG_02289,FGSG_02367,FGSG_02442,FGSG_02578,FGSG_02641,FGSG_02681,FGSG_02870,FGSG_02883,FGSG_02965,FGSG_02966,FGSG_02968,FGSG_02981,FGSG_02982,FGSG_02986,FGSG_03032,FGSG_03064,FGSG_03065,FGSG_03066,FGSG_03080,FGSG_03081,FGSG_03083,FGSG_03091,FGSG_03245,FGSG_03248,FGSG_03270,FGSG_03288,FGSG_03369,FGSG_03420,FGSG_03448,FGSG_03516,FGSG_03588,FGSG_03627,FGSG_03657,FGSG_03692,FGSG_03693,FGSG_03891,FGSG_04058,FGSG_04172,FGSG_04215,FGSG_04378,FGSG_04383,FGSG_04438,FGSG_04440,FGSG_04475,FGSG_04825,FGSG_05021,FGSG_05296,FGSG_05324,FGSG_05334,FGSG_05410,FGSG_05440,FGSG_05612,FGSG_05692,FGSG_05754,FGSG_05859,FGSG_05928,FGSG_05968,FGSG_06068,FGSG_06080,FGSG_06091,FGSG_06439,FGSG_06508,FGSG_06538,FGSG_06541,FGSG_06546,FGSG_06550,FGSG_06564,FGSG_06658,FGSG_06741,FGSG_06748,FGSG_07205,FGSG_07208,FGSG_07366,FGSG_07483,FGSG_07489,FGSG_07543,FGSG_07577,FGSG_07582,FGSG_07596,FGSG_07630,FGSG_07666,FGSG_07672,FGSG_07673,FGSG_07720,FGSG_07773,FGSG_07890,FGSG_07995,FGSG_08009,FGSG_08155,FGSG_08221,FGSG_08222,FGSG_08291,FGSG_08312,FGSG_08356,FGSG_08404,FGSG_08440,FGSG_08504,FGSG_08579,FGSG_08695,FGSG_08697,FGSG_08730,FGSG_08749,FGSG_08985,FGSG_09008,FGSG_09044,FGSG_09050,FGSG_09053,FGSG_09060,FGSG_09246,FGSG_09297,FGSG_09352,FGSG_09443,FGSG_09595,FGSG_09639,FGSG_09804,FGSG_10184,FGSG_10224,FGSG_10303,FGSG_10472,FGSG_10498,FGSG_10529,FGSG_10630,FGSG_10655,FGSG_10973,FGSG_11014,FGSG_11079,FGSG_11080,FGSG_11215,FGSG_11232,FGSG_11233,FGSG_11261,FGSG_11282,FGSG_11293,FGSG_11307,FGSG_11324,FGSG_11465,FGSG_11497,FGSG_11577,FGSG_11912,FGSG_12110,FGSG_12184,FGSG_12232,FGSG_12321,FGSG_12338,FGSG_12368,FGSG_12471,FGSG_12490,FGSG_12511,FGSG_12599,FGSG_12607,FGSG_12704,FGSG_12786,FGSG_12980,FGSG_13012,FGSG_13025,FGSG_13106,FGSG_13107,FGSG_13350,FGSG_13421,FGSG_13459,FGSG_13493,FGSG_13761,FGSG_13938,FGSG_13993"
low_light_vs_dark_light,GO:0005576,extracellular region,CC,5,43,238,5718,1.79,2.79,0.0317768031922252,0.2065492207494641,"FGSG_00062,FGSG_02131,FGSG_10708,FGSG_11032,FGSG_11487"
low_light_vs_dark_light,GO:0016020,membrane,CC,6,88,238,5718,3.66,1.64,0.1590535727302412,0.689232148497712,"FGSG_03283,FGSG_03922,FGSG_04439,FGSG_07555,FGSG_10226,FGSG_11013"
low_light_vs_dark_light,GO:0000324,fungal-type vacuole,CC,2,35,238,5718,1.46,1.37,0.4313448764784814,0.9999999999852816,"FGSG_03248,FGSG_11912"
low_light_vs_dark_light,GO:0005783,endoplasmic reticulum,CC,5,150,238,5718,6.24,0.8,0.7557075477486116,0.9999999999852816,"FGSG_02071,FGSG_03686,FGSG_04911,FGSG_08730,FGSG_12368"
low_light_vs_dark_light,GO:0005886,plasma membrane,CC,2,78,238,5718,3.25,0.62,0.8426668544224196,0.9999999999852816,"FGSG_03248,FGSG_08579"
low_light_vs_dark_light,GO:0005794,Golgi apparatus,CC,2,85,238,5718,3.54,0.57,0.8754604106323569,0.9999999999852816,"FGSG_00979,FGSG_06630"
low_light_vs_dark_light,GO:0000329,fungal-type vacuole membrane,CC,2,88,238,5718,3.66,0.55,0.887493058439213,0.9999999999852816,"FGSG_01150,FGSG_12980"
low_light_vs_dark_light,GO:0005622,intracellular anatomical structure,CC,2,90,238,5718,3.75,0.53,0.894908718481348,0.9999999999852816,"FGSG_00171,FGSG_02792"
low_light_vs_dark_light,GO:0005739,mitochondrion,CC,8,276,238,5718,11.49,0.7,0.8964756063775556,0.9999999999852816,"FGSG_00805,FGSG_00840,FGSG_01031,FGSG_04886,FGSG_06738,FGSG_08914,FGSG_10097,FGSG_10226"
low_light_vs_dark_light,GO:0005737,cytoplasm,CC,6,328,238,5718,13.65,0.44,0.9948434751419136,0.9999999999852816,"FGSG_02852,FGSG_05446,FGSG_07555,FGSG_08457,FGSG_08986,FGSG_10303"
low_light_vs_dark_light,GO:0005634,nucleus,CC,21,1229,238,5718,51.15,0.41,0.9999999706908392,0.9999999999852816,"FGSG_00217,FGSG_00404,FGSG_00586,FGSG_00979,FGSG_01108,FGSG_01150,FGSG_02368,FGSG_03508,FGSG_03683,FGSG_04288,FGSG_07505,FGSG_07674,FGSG_08405,FGSG_08828,FGSG_08914,FGSG_08986,FGSG_09043,FGSG_11358,FGSG_12172,FGSG_12611,FGSG_12927"
low_light_vs_dark_light,GO:0005829,cytosol,CC,6,848,238,5718,35.3,0.17,0.9999999999852816,0.9999999999852816,"FGSG_00469,FGSG_00979,FGSG_01108,FGSG_02433,FGSG_09710,FGSG_10226"
low_light_vs_control,GO:0055114,obsolete oxidation-reduction process,BP,240,965,810,6107,127.99,1.88,4.12118476753073e-27,5.151480959413412e-25,"FGSG_00012,FGSG_00043,FGSG_00048,FGSG_00066,FGSG_00162,FGSG_00231,FGSG_00236,FGSG_00489,FGSG_00578,FGSG_00665,FGSG_00712,FGSG_00805,FGSG_00871,FGSG_00979,FGSG_01141,FGSG_01255,FGSG_01284,FGSG_01403,FGSG_01523,FGSG_01745,FGSG_01790,FGSG_01868,FGSG_01947,FGSG_02033,FGSG_02034,FGSG_02051,FGSG_02137,FGSG_02165,FGSG_02220,FGSG_02266,FGSG_02267,FGSG_02271,FGSG_02273,FGSG_02291,FGSG_02327,FGSG_02328,FGSG_02330,FGSG_02347,FGSG_02367,FGSG_02379,FGSG_02387,FGSG_02419,FGSG_02432,FGSG_02469,FGSG_02502,FGSG_02522,FGSG_02657,FGSG_02668,FGSG_02691,FGSG_02692,FGSG_02695,FGSG_02792,FGSG_02908,FGSG_02924,FGSG_02982,FGSG_03026,FGSG_03061,FGSG_03065,FGSG_03067,FGSG_03071,FGSG_03163,FGSG_03180,FGSG_03199,FGSG_03258,FGSG_03264,FGSG_03278,FGSG_03340,FGSG_03370,FGSG_03430,FGSG_03443,FGSG_03498,FGSG_03546,FGSG_03547,FGSG_03548,FGSG_03577,FGSG_03603,FGSG_03638,FGSG_03655,FGSG_03657,FGSG_03686,FGSG_03692,FGSG_03741,FGSG_03824,FGSG_03851,FGSG_03860,FGSG_03898,FGSG_03913,FGSG_03920,FGSG_03925,FGSG_03955,FGSG_03964,FGSG_03984,FGSG_04064,FGSG_04117,FGSG_04126,FGSG_04143,FGSG_04194,FGSG_04196,FGSG_04223,FGSG_04368,FGSG_04458,FGSG_04510,FGSG_04567,FGSG_04590,FGSG_04595,FGSG_04663,FGSG_04667,FGSG_04694,FGSG_04727,FGSG_04728,FGSG_04780,FGSG_04793,FGSG_04826,FGSG_04828,FGSG_04852,FGSG_04886,FGSG_04911,FGSG_04922,FGSG_05130,FGSG_05159,FGSG_05164,FGSG_05284,FGSG_05322,FGSG_05450,FGSG_05683,FGSG_05724,FGSG_05831,FGSG_05919,FGSG_06001,FGSG_06060,FGSG_06184,FGSG_06257,FGSG_06401,FGSG_06438,FGSG_06554,FGSG_06563,FGSG_06596,FGSG_06618,FGSG_06733,FGSG_06752,FGSG_06813,FGSG_07174,FGSG_07239,FGSG_07263,FGSG_07389,FGSG_07530,FGSG_07556,FGSG_07590,FGSG_07596,FGSG_07628,FGSG_07683,FGSG_07783,FGSG_08007,FGSG_08024,FGSG_08054,FGSG_08191,FGSG_08352,FGSG_08358,FGSG_08402,FGSG_08425,FGSG_08462,FGSG_08510,FGSG_08511,FGSG_08579,FGSG_08596,FGSG_08618,FGSG_08760,FGSG_08795,FGSG_08980,FGSG_09012,FGSG_09029,FGSG_09054,FGSG_09086,FGSG_09103,FGSG_09104,FGSG_09121,FGSG_09125,FGSG_09240,FGSG_09351,FGSG_09373,FGSG_09477,FGSG_09483,FGSG_09639,FGSG_09678,FGSG_09820,FGSG_10444,FGSG_10451,FGSG_10609,FGSG_10624,FGSG_10631,FGSG_10655,FGSG_10673,FGSG_10677,FGSG_10680,FGSG_10739,FGSG_10855,FGSG_10960,FGSG_10991,FGSG_11032,FGSG_11192,FGSG_11232,FGSG_11260,FGSG_11270,FGSG_11282,FGSG_11387,FGSG_11399,FGSG_11440,FGSG_11482,FGSG_11528,FGSG_11565,FGSG_11566,FGSG_11568,FGSG_11585,FGSG_11655,FGSG_12082,FGSG_12129,FGSG_12154,FGSG_12180,FGSG_12206,FGSG_12222,FGSG_12223,FGSG_12342,FGSG_12368,FGSG_12371,FGSG_12386,FGSG_12594,FGSG_12599,FGSG_12741,FGSG_13004,FGSG_13110,FGSG_13196,FGSG_13347,FGSG_13433,FGSG_13459,FGSG_13561,FGSG_13617,FGSG_13802,FGSG_13840,FGSG_13865,FGSG_13875"
low_light_vs_control,GO:0055085,transmembrane transport,BP,112,448,810,6107,59.42,1.88,2.204970691789333e-12,1.378106682368333e-10,"FGSG_00015,FGSG_00070,FGSG_00084,FGSG_00085,FGSG_00095,FGSG_00108,FGSG_00351,FGSG_00769,FGSG_01352,FGSG_01593,FGSG_01662,FGSG_01792,FGSG_01814,FGSG_01986,FGSG_02151,FGSG_02281,FGSG_02292,FGSG_02343,FGSG_02358,FGSG_02823,FGSG_02824,FGSG_02945,FGSG_02966,FGSG_02978,FGSG_03024,FGSG_03032,FGSG_03033,FGSG_03083,FGSG_03233,FGSG_03234,FGSG_03272,FGSG_03279,FGSG_03306,FGSG_03330,FGSG_03360,FGSG_03369,FGSG_03427,FGSG_03548,FGSG_03737,FGSG_03780,FGSG_03862,FGSG_03882,FGSG_03891,FGSG_03920,FGSG_03956,FGSG_04153,FGSG_04188,FGSG_04217,FGSG_04368,FGSG_04440,FGSG_04537,FGSG_04610,FGSG_04644,FGSG_04658,FGSG_04667,FGSG_04709,FGSG_04876,FGSG_04899,FGSG_05011,FGSG_05368,FGSG_05705,FGSG_05731,FGSG_05839,FGSG_06336,FGSG_06468,FGSG_06579,FGSG_07350,FGSG_07495,FGSG_07509,FGSG_07587,FGSG_07631,FGSG_07720,FGSG_07722,FGSG_07802,FGSG_07985,FGSG_08177,FGSG_08230,FGSG_08375,FGSG_08749,FGSG_08799,FGSG_08823,FGSG_09060,FGSG_09069,FGSG_09104,FGSG_09209,FGSG_09210,FGSG_09335,FGSG_09595,FGSG_09697,FGSG_09737,FGSG_09913,FGSG_10747,FGSG_10809,FGSG_11084,FGSG_11219,FGSG_11439,FGSG_11519,FGSG_11567,FGSG_11831,FGSG_11981,FGSG_12203,FGSG_12204,FGSG_12415,FGSG_12471,FGSG_12700,FGSG_12704,FGSG_13360,FGSG_13382,FGSG_13807,FGSG_13979,FGSG_13980,FGSG_13993"
low_light_vs_control,GO:0003333,amino acid transmembrane transport,BP,21,52,810,6107,6.9,3.04,9.703441545241598e-07,4.0431006438506656e-05,"FGSG_01990,FGSG_02145,FGSG_02208,FGSG_02229,FGSG_02264,FGSG_02272,FGSG_03778,FGSG_03799,FGSG_03808,FGSG_04182,FGSG_04637,FGSG_04943,FGSG_05859,FGSG_06508,FGSG_08221,FGSG_08347,FGSG_09053,FGSG_12342,FGSG_12511,FGSG_13562,FGSG_13897"
low_light_vs_control,GO:0008152,metabolic process,BP,49,207,810,6107,27.46,1.78,2.4378568282135507e-05,0.0007618302588167,"FGSG_00109,FGSG_01379,FGSG_01680,FGSG_01746,FGSG_01823,FGSG_02063,FGSG_02121,FGSG_02218,FGSG_02342,FGSG_02938,FGSG_02997,FGSG_03080,FGSG_03160,FGSG_03304,FGSG_03372,FGSG_03457,FGSG_03514,FGSG_03747,FGSG_03785,FGSG_03808,FGSG_03922,FGSG_04588,FGSG_04616,FGSG_04874,FGSG_05048,FGSG_05087,FGSG_05128,FGSG_06084,FGSG_06462,FGSG_06613,FGSG_07275,FGSG_07277,FGSG_08053,FGSG_08622,FGSG_09031,FGSG_09196,FGSG_09521,FGSG_10126,FGSG_10617,FGSG_10670,FGSG_10990,FGSG_11884,FGSG_12234,FGSG_12292,FGSG_13111,FGSG_13153,FGSG_13299,FGSG_13394,FGSG_13860"
low_light_vs_control,GO:0005975,carbohydrate metabolic process,BP,37,163,810,6107,21.62,1.71,0.0005736475218228,0.014341188045572,"FGSG_00068,FGSG_01250,FGSG_01596,FGSG_01829,FGSG_01836,FGSG_02001,FGSG_02339,FGSG_02651,FGSG_02920,FGSG_03212,FGSG_03269,FGSG_03288,FGSG_03462,FGSG_03842,FGSG_04768,FGSG_05330,FGSG_05757,FGSG_06117,FGSG_06486,FGSG_06553,FGSG_06888,FGSG_07569,FGSG_08534,FGSG_08610,FGSG_08623,FGSG_08797,FGSG_09082,FGSG_09366,FGSG_10444,FGSG_10708,FGSG_10728,FGSG_11056,FGSG_11184,FGSG_11366,FGSG_11903,FGSG_11904,FGSG_13861"
low_light_vs_control,GO:0006032,chitin catabolic process,BP,7,14,810,6107,1.86,3.77,0.0010344204169344,0.0215504253528002,"FGSG_03212,FGSG_04143,FGSG_07569,FGSG_10443,FGSG_10728,FGSG_11903,FGSG_11904"
low_light_vs_control,GO:0035434,copper ion transmembrane transport,BP,4,5,810,6107,0.66,6.03,0.0013750218589588,0.024553961767122,"FGSG_00773,FGSG_03693,FGSG_06061,FGSG_08697"
low_light_vs_control,GO:0006099,tricarboxylic acid cycle,BP,8,23,810,6107,3.05,2.62,0.007227811053484,0.1041825413243394,"FGSG_00175,FGSG_05610,FGSG_08700,FGSG_08712,FGSG_09896,FGSG_10347,FGSG_13136,FGSG_13137"
low_light_vs_control,GO:0009308,amine metabolic process,BP,4,7,810,6107,0.93,4.31,0.0077119273641608,0.1041825413243394,"FGSG_02271,FGSG_03278,FGSG_10677,FGSG_12129"
low_light_vs_control,GO:0019629,"obsolete propionate catabolic process, 2-methylcitrate cycle",BP,3,4,810,6107,0.53,5.65,0.0083807706224369,0.1041825413243394,"FGSG_00175,FGSG_00176,FGSG_08851"
low_light_vs_control,GO:0006633,fatty acid biosynthetic process,BP,7,20,810,6107,2.65,2.64,0.0113912792922072,0.1041825413243394,"FGSG_02502,FGSG_02522,FGSG_03964,FGSG_05164,FGSG_05322,FGSG_06896,FGSG_11655"
low_light_vs_control,GO:0015700,arsenite transport,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_03248,FGSG_06579"
low_light_vs_control,GO:0018958,phenol-containing compound metabolic process,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_07721,FGSG_12251"
low_light_vs_control,GO:0015793,glycerol transmembrane transport,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_03248,FGSG_05839"
low_light_vs_control,GO:0042819,vitamin B6 biosynthetic process,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_05035,FGSG_05036"
low_light_vs_control,GO:0009448,obsolete GABA metabolic process,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_05554,FGSG_06751"
low_light_vs_control,GO:0006570,obsolete tyrosine metabolic process,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_02347,FGSG_08358"
low_light_vs_control,GO:0044690,GO:0044690,BP,2,2,810,6107,0.27,7.54,0.0175731178093729,0.1041825413243394,"FGSG_02145,FGSG_03107"
low_light_vs_control,GO:0007166,cell surface receptor signaling pathway,BP,3,5,810,6107,0.66,4.52,0.0188893937676541,0.1041825413243394,"FGSG_00527,FGSG_01861,FGSG_09693"
low_light_vs_control,GO:0009298,GDP-mannose biosynthetic process,BP,3,5,810,6107,0.66,4.52,0.0188893937676541,0.1041825413243394,"FGSG_03767,FGSG_05330,FGSG_08773"
low_light_vs_control,GO:0009072,aromatic amino acid metabolic process,BP,3,5,810,6107,0.66,4.52,0.0188893937676541,0.1041825413243394,"FGSG_02851,FGSG_02852,FGSG_06001"
low_light_vs_control,GO:0042823,pyridoxal 5'-phosphate biosynthetic process,BP,3,5,810,6107,0.66,4.52,0.0188893937676541,0.1041825413243394,"FGSG_05035,FGSG_05036,FGSG_09477"
low_light_vs_control,GO:0098869,cellular oxidant detoxification,BP,10,37,810,6107,4.91,2.04,0.0191695876036784,0.1041825413243394,"FGSG_02341,FGSG_02668,FGSG_03180,FGSG_03708,FGSG_06554,FGSG_06596,FGSG_06733,FGSG_08911,FGSG_10960,FGSG_12154"
low_light_vs_control,GO:0006094,gluconeogenesis,BP,4,9,810,6107,1.19,3.35,0.0222973266163037,0.1161319094599151,"FGSG_03992,FGSG_07075,FGSG_08601,FGSG_09280"
low_light_vs_control,GO:0098655,monoatomic cation transmembrane transport,BP,6,18,810,6107,2.39,2.51,0.0241503215154081,0.1207516075770405,"FGSG_01162,FGSG_01883,FGSG_02675,FGSG_04245,FGSG_05723,FGSG_08188"
low_light_vs_control,GO:0006520,amino acid metabolic process,BP,5,14,810,6107,1.86,2.69,0.028961485333101,0.1392379102552937,"FGSG_00805,FGSG_03147,FGSG_03391,FGSG_05295,FGSG_07174"
low_light_vs_control,GO:0009228,thiamine biosynthetic process,BP,3,6,810,6107,0.8,3.77,0.0340874598536165,0.1578123141371134,"FGSG_01672,FGSG_02469,FGSG_07263"
low_light_vs_control,GO:0006559,L-phenylalanine catabolic process,BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_02347,FGSG_08358"
low_light_vs_control,GO:0015677,copper ion import,BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_06061,FGSG_08579"
low_light_vs_control,GO:0045732,positive regulation of protein catabolic process,BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_00660,FGSG_10728"
low_light_vs_control,GO:0006090,pyruvate metabolic process,BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_00805,FGSG_07075"
low_light_vs_control,GO:0006097,glyoxylate cycle,BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_08700,FGSG_09896"
low_light_vs_control,GO:0009410,response to xenobiotic stimulus,BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_00713,FGSG_09333"
low_light_vs_control,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",BP,2,3,810,6107,0.4,5.03,0.0480677304338606,0.1767195971833113,"FGSG_12181,FGSG_13133"
low_light_vs_control,GO:0007130,synaptonemal complex assembly,BP,3,7,810,6107,0.93,3.23,0.0538691092207082,0.1923896757882437,"FGSG_05105,FGSG_06754,FGSG_10728"
low_light_vs_control,GO:0071805,potassium ion transmembrane transport,BP,4,12,810,6107,1.59,2.51,0.0633452040677622,0.2162648226441275,"FGSG_02820,FGSG_03834,FGSG_09232,FGSG_09477"
low_light_vs_control,GO:0006979,response to oxidative stress,BP,5,17,810,6107,2.25,2.22,0.0640143875026617,0.2162648226441275,"FGSG_02668,FGSG_06554,FGSG_06596,FGSG_06733,FGSG_10960"
low_light_vs_control,GO:0032259,methylation,BP,26,146,810,6107,19.36,1.34,0.068891340451169,0.2266162514841088,"FGSG_00457,FGSG_01744,FGSG_01745,FGSG_02326,FGSG_02419,FGSG_02615,FGSG_03821,FGSG_03833,FGSG_03951,FGSG_04589,FGSG_04596,FGSG_04845,FGSG_07660,FGSG_07880,FGSG_08310,FGSG_08391,FGSG_09351,FGSG_09383,FGSG_10190,FGSG_10843,FGSG_11729,FGSG_13004,FGSG_13459,FGSG_13708,FGSG_13976,FGSG_14015"
low_light_vs_control,GO:0008643,carbohydrate transport,BP,8,34,810,6107,4.51,1.77,0.0720796514446661,0.2310245238611094,"FGSG_00015,FGSG_03083,FGSG_03233,FGSG_03234,FGSG_03272,FGSG_04709,FGSG_07587,FGSG_07631"
low_light_vs_control,GO:0007186,G protein-coupled receptor signaling pathway,BP,3,8,810,6107,1.06,2.83,0.0778995974403841,0.2434362420012004,"FGSG_00527,FGSG_01861,FGSG_09693"
low_light_vs_control,GO:0006006,glucose metabolic process,BP,2,4,810,6107,0.53,3.77,0.0877546902452843,0.2493030972877397,"FGSG_04826,FGSG_06257"
low_light_vs_control,GO:0046373,L-arabinose metabolic process,BP,2,4,810,6107,0.53,3.77,0.0877546902452843,0.2493030972877397,"FGSG_03813,FGSG_07625"
low_light_vs_control,GO:0045892,negative regulation of DNA-templated transcription,BP,2,4,810,6107,0.53,3.77,0.0877546902452843,0.2493030972877397,"FGSG_01403,FGSG_04211"
low_light_vs_control,GO:0006537,obsolete glutamate biosynthetic process,BP,2,4,810,6107,0.53,3.77,0.0877546902452843,0.2493030972877397,"FGSG_01141,FGSG_08458"
low_light_vs_control,GO:0006508,proteolysis,BP,30,183,810,6107,24.27,1.24,0.1250621267595848,0.3276100193554849,"FGSG_00218,FGSG_01808,FGSG_01818,FGSG_02314,FGSG_03027,FGSG_03432,FGSG_03443,FGSG_03467,FGSG_04375,FGSG_04970,FGSG_05829,FGSG_06496,FGSG_06560,FGSG_07775,FGSG_08101,FGSG_08102,FGSG_08196,FGSG_09115,FGSG_10433,FGSG_10728,FGSG_11073,FGSG_11257,FGSG_11472,FGSG_12067,FGSG_12142,FGSG_12224,FGSG_12225,FGSG_12226,FGSG_12609,FGSG_13441"
low_light_vs_control,GO:0016052,carbohydrate catabolic process,BP,2,5,810,6107,0.66,3.02,0.1336648878970378,0.3276100193554849,"FGSG_04584,FGSG_07921"
low_light_vs_control,GO:0071470,cellular response to osmotic stress,BP,2,5,810,6107,0.66,3.02,0.1336648878970378,0.3276100193554849,"FGSG_00543,FGSG_01523"
low_light_vs_control,GO:0042128,nitrate assimilation,BP,2,5,810,6107,0.66,3.02,0.1336648878970378,0.3276100193554849,"FGSG_01947,FGSG_08402"
low_light_vs_control,GO:0022900,electron transport chain,BP,2,5,810,6107,0.66,3.02,0.1336648878970378,0.3276100193554849,"FGSG_13136,FGSG_13137"
low_light_vs_control,GO:0009450,GABA catabolic process,BP,2,5,810,6107,0.66,3.02,0.1336648878970378,0.3276100193554849,"FGSG_04196,FGSG_06752"
low_light_vs_control,GO:0019430,removal of superoxide radicals,BP,2,5,810,6107,0.66,3.02,0.1336648878970378,0.3276100193554849,"FGSG_00871,FGSG_02051"
